Date: 2013-05-10 Time: 15:14:52

Log statistics for channel: 0
Data frames: 10532
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	8533	7,8846	Std	8	1	[03]
0	8534	7,8848	Std	10	6	[00, 03, 01, EB, 66, 9E]
0	8535	7,8887	Std	281	4	[01, D7, A7, 5D]
0	8536	7,8888	Std	0	1	[55]
0	8537	7,8891	Std	211	6	[02, 03, 01, EB, 61, AC]
0	8538	7,8895	Std	8	1	[03]
0	8539	7,8897	Std	10	6	[00, 03, 01, EB, 67, F5]
0	8540	7,8937	Std	281	4	[01, D7, A7, 5D]
0	8541	7,8938	Std	0	1	[55]
0	8542	7,8941	Std	211	6	[01, 03, 01, EB, 63, 04]
0	8543	7,8946	Std	8	1	[03]
0	8544	7,8948	Std	10	6	[00, 03, 01, EB, 69, 4C]
0	8545	7,8987	Std	281	4	[01, D7, A7, 5D]
0	8546	7,8988	Std	0	1	[55]
0	8547	7,8991	Std	211	6	[02, 03, 01, EB, 64, 5C]
0	8548	7,8995	Std	8	1	[03]
0	8549	7,8997	Std	10	6	[00, 03, 01, EB, 6A, A3]
0	8550	7,9016	Std	209	3	[03, FF, FF]
0	8551	7,9037	Std	281	4	[01, D7, A7, 5D]
0	8552	7,9038	Std	0	1	[55]
0	8553	7,9041	Std	211	6	[00, 03, 01, EB, 65, B5]
0	8554	7,9046	Std	8	1	[03]
0	8555	7,9048	Std	10	6	[00, 03, 01, EB, 6B, FB]
0	8556	7,9087	Std	281	4	[01, D8, A7, 5D]
0	8557	7,9088	Std	0	1	[55]
0	8558	7,9091	Std	211	6	[02, 03, 01, EB, 67, 0C]
