Date: 2013-05-10 Time: 15:40:49

Log statistics for channel: 0
Data frames: 616294
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	606295	560,4046	Std	8	1	[03]
0	606296	560,4048	Std	10	6	[00, 03, 04, 84, B7, 98]
0	606297	560,4061	Std	281	4	[01, D7, A7, 5D]
0	606298	560,4088	Std	0	1	[55]
0	606299	560,4092	Std	211	6	[02, 03, 04, 84, BC, 86]
0	606300	560,4096	Std	8	1	[03]
0	606301	560,4098	Std	10	6	[00, 03, 04, 84, B6, 40]
0	606302	560,4111	Std	281	4	[01, D7, A7, 5D]
0	606303	560,4138	Std	0	1	[55]
0	606304	560,4142	Std	211	6	[01, 03, 04, 84, BB, 2D]
0	606305	560,4146	Std	8	1	[03]
0	606306	560,4148	Std	10	6	[00, 03, 04, 84, B4, E9]
0	606307	560,4150	Std	408	4	[00, 63, 00, 16]
0	606308	560,4153	Std	409	4	[00, 16, 00, B7]
0	606309	560,4161	Std	281	4	[01, D7, A7, 5D]
0	606310	560,4188	Std	0	1	[55]
0	606311	560,4192	Std	211	6	[02, 03, 04, 84, B9, D5]
0	606312	560,4196	Std	8	1	[03]
0	606313	560,4198	Std	10	6	[00, 03, 04, 84, B3, 92]
0	606314	560,4211	Std	281	4	[01, D7, A7, 5D]
0	606315	560,4222	Std	209	3	[03, FF, FF]
0	606316	560,4238	Std	0	1	[55]
0	606317	560,4242	Std	211	6	[01, 03, 04, 84, B8, 7D]
0	606318	560,4246	Std	8	1	[03]
0	606319	560,4248	Std	10	6	[00, 03, 04, 84, B2, 3B]
0	606320	560,4261	Std	281	4	[01, D7, A7, 5D]
0	606321	560,4288	Std	0	1	[55]
0	606322	560,4292	Std	211	6	[02, 03, 04, 84, B7, 25]
0	606323	560,4296	Std	8	1	[03]
0	606324	560,4298	Std	10	6	[00, 03, 04, 84, B0, E3]
0	606325	560,4311	Std	281	4	[01, D7, A7, 5D]
0	606326	560,4338	Std	0	1	[55]
0	606327	560,4342	Std	211	6	[01, 03, 04, 84, B5, CD]
0	606328	560,4346	Std	8	1	[03]
0	606329	560,4348	Std	10	6	[00, 03, 04, 84, AF, 8C]
0	606330	560,4361	Std	281	4	[01, D7, A7, 5D]
0	606331	560,4388	Std	0	1	[55]
0	606332	560,4392	Std	211	6	[02, 03, 04, 84, B4, 77]
0	606333	560,4396	Std	8	1	[03]
0	606334	560,4398	Std	10	6	[00, 03, 04, 84, AE, 35]
0	606335	560,4411	Std	281	4	[01, D7, A7, 5D]
0	606336	560,4426	Std	209	3	[03, FF, FF]
0	606337	560,4438	Std	0	1	[55]
0	606338	560,4442	Std	211	6	[01, 03, 04, 84, B3, 20]
0	606339	560,4446	Std	80	1	[01]
0	606340	560,4447	Std	8	1	[03]
0	606341	560,4449	Std	10	6	[00, 03, 04, 84, AC, DE]
0	606342	560,4461	Std	281	4	[01, D7, A7, 5D]
0	606343	560,4488	Std	0	1	[55]
0	606344	560,4492	Std	211	6	[02, 03, 04, 84, B1, CA]
0	606345	560,4496	Std	8	1	[03]
0	606346	560,4498	Std	10	6	[00, 03, 04, 84, AB, 87]
0	606347	560,4511	Std	281	4	[01, D7, A7, 5D]
0	606348	560,4538	Std	0	1	[55]
0	606349	560,4542	Std	211	6	[01, 03, 04, 84, B0, 72]
0	606350	560,4546	Std	8	1	[03]
0	606351	560,4548	Std	10	6	[00, 03, 04, 84, AA, 2F]
0	606352	560,4561	Std	281	4	[01, D7, A7, 5D]
0	606353	560,4588	Std	0	1	[55]
0	606354	560,4592	Std	211	6	[02, 03, 04, 84, AF, 1C]
0	606355	560,4596	Std	8	1	[03]
0	606356	560,4598	Std	10	6	[00, 03, 04, 84, A8, D8]
0	606357	560,4611	Std	281	4	[01, D7, A7, 5D]
0	606358	560,4630	Std	209	3	[03, FF, FF]
0	606359	560,4638	Std	0	1	[55]
0	606360	560,4642	Std	211	6	[01, 03, 04, 84, AD, C4]
0	606361	560,4646	Std	8	1	[03]
0	606362	560,4648	Std	10	6	[00, 03, 04, 84, A7, 81]
0	606363	560,4661	Std	281	4	[01, D7, A7, 5D]
0	606364	560,4688	Std	0	1	[55]
0	606365	560,4692	Std	211	6	[02, 03, 04, 84, AC, 6D]
0	606366	560,4696	Std	8	1	[03]
0	606367	560,4698	Std	10	6	[00, 03, 04, 84, A6, 2A]
0	606368	560,4711	Std	281	4	[01, D7, A7, 5D]
0	606369	560,4738	Std	0	1	[55]
0	606370	560,4742	Std	211	6	[01, 03, 04, 84, AB, 15]
0	606371	560,4746	Std	8	1	[03]
0	606372	560,4748	Std	10	6	[00, 03, 04, 84, A4, D2]
0	606373	560,4761	Std	281	4	[01, D7, A7, 5D]
0	606374	560,4788	Std	0	1	[55]
0	606375	560,4792	Std	211	6	[02, 03, 04, 84, A9, BE]
0	606376	560,4796	Std	8	1	[03]
0	606377	560,4798	Std	10	6	[00, 03, 04, 84, A3, 7B]
0	606378	560,4811	Std	281	4	[01, D7, A7, 5D]
0	606379	560,4833	Std	209	3	[03, FF, FF]
0	606380	560,4838	Std	0	1	[55]
0	606381	560,4842	Std	211	6	[01, 03, 04, 84, A8, 68]
0	606382	560,4846	Std	8	1	[03]
0	606383	560,4848	Std	10	6	[00, 03, 04, 84, A2, 24]
0	606384	560,4861	Std	281	4	[01, D7, A7, 5D]
0	606385	560,4888	Std	0	1	[55]
0	606386	560,4892	Std	211	6	[02, 03, 04, 84, A7, 11]
0	606387	560,4896	Std	8	1	[03]
0	606388	560,4898	Std	10	6	[00, 03, 04, 84, A0, CD]
0	606389	560,4911	Std	281	4	[01, D7, A7, 5D]
0	606390	560,4938	Std	0	1	[55]
0	606391	560,4942	Std	211	6	[00, 03, 04, 84, A5, B9]
0	606392	560,4946	Std	8	1	[03]
0	606393	560,4948	Std	10	6	[00, 03, 04, 84, 9F, 76]
0	606394	560,4961	Std	281	4	[01, D7, A7, 5D]
0	606395	560,4988	Std	0	1	[55]
0	606396	560,4992	Std	211	6	[02, 03, 04, 84, A4, 64]
0	606397	560,4996	Std	8	1	[03]
0	606398	560,4998	Std	10	6	[00, 03, 04, 84, 9E, 1E]
0	606399	560,5000	Std	410	4	[1D, 9D, 04, 56]
0	606400	560,5001	Std	411	4	[1D, 9D, 04, 56]
0	606401	560,5011	Std	281	4	[01, D7, A7, 5D]
0	606402	560,5038	Std	209	3	[03, FF, FF]
0	606403	560,5039	Std	0	1	[55]
0	606404	560,5042	Std	211	6	[01, 03, 04, 84, A3, 0D]
0	606405	560,5046	Std	8	1	[03]
0	606406	560,5048	Std	10	6	[00, 03, 04, 84, 9C, C7]
0	606407	560,5061	Std	281	4	[01, D7, A7, 5D]
0	606408	560,5088	Std	0	1	[55]
0	606409	560,5092	Std	211	6	[02, 03, 04, 84, A1, B7]
0	606410	560,5096	Std	8	1	[03]
0	606411	560,5098	Std	10	6	[00, 03, 04, 84, 9B, 70]
0	606412	560,5111	Std	281	4	[01, D7, A7, 5D]
0	606413	560,5138	Std	0	1	[55]
0	606414	560,5142	Std	211	6	[01, 03, 04, 84, A0, 5F]
0	606415	560,5146	Std	8	1	[03]
0	606416	560,5148	Std	10	6	[00, 03, 04, 84, 9A, 19]
0	606417	560,5161	Std	281	4	[01, D8, A7, 5D]
0	606418	560,5188	Std	0	1	[55]
0	606419	560,5192	Std	211	6	[02, 03, 04, 84, 9F, 09]
0	606420	560,5196	Std	8	1	[03]
0	606421	560,5198	Std	10	6	[00, 03, 04, 84, 98, C1]
0	606422	560,5211	Std	281	4	[01, D7, A7, 5D]
0	606423	560,5238	Std	0	1	[55]
0	606424	560,5242	Std	211	6	[01, 03, 04, 84, 9D, B0]
0	606425	560,5243	Std	209	3	[03, FF, FF]
0	606426	560,5246	Std	8	1	[03]
0	606427	560,5248	Std	10	6	[00, 03, 04, 84, 97, 6A]
0	606428	560,5261	Std	281	4	[01, D7, A7, 5D]
0	606429	560,5288	Std	0	1	[55]
0	606430	560,5292	Std	211	6	[02, 03, 04, 84, 9C, 58]
0	606431	560,5296	Std	8	1	[03]
0	606432	560,5298	Std	10	6	[00, 03, 04, 84, 96, 13]
0	606433	560,5311	Std	281	4	[01, D7, A7, 5D]
0	606434	560,5338	Std	0	1	[55]
0	606435	560,5342	Std	211	6	[00, 03, 04, 84, 9A, FF]
0	606436	560,5346	Std	8	1	[03]
0	606437	560,5348	Std	10	6	[00, 03, 04, 84, 94, BC]
0	606438	560,5361	Std	281	4	[01, D7, A7, 5D]
0	606439	560,5388	Std	0	1	[55]
0	606440	560,5392	Std	211	6	[02, 03, 04, 84, 99, A7]
0	606441	560,5396	Std	8	1	[03]
0	606442	560,5398	Std	10	6	[00, 03, 04, 84, 93, 65]
0	606443	560,5411	Std	281	4	[01, D7, A7, 5D]
0	606444	560,5438	Std	0	1	[55]
0	606445	560,5442	Std	211	6	[00, 03, 04, 84, 98, 4E]
0	606446	560,5446	Std	209	3	[03, FF, FF]
0	606447	560,5447	Std	8	1	[03]
0	606448	560,5449	Std	10	6	[00, 03, 04, 84, 92, 0D]
0	606449	560,5461	Std	281	4	[01, D7, A7, 5D]
0	606450	560,5488	Std	0	1	[55]
0	606451	560,5492	Std	211	6	[02, 03, 04, 84, 96, F7]
0	606452	560,5496	Std	8	1	[03]
0	606453	560,5498	Std	10	6	[00, 03, 04, 84, 90, B6]
0	606454	560,5511	Std	281	4	[01, D6, A7, 5D]
0	606455	560,5538	Std	0	1	[55]
0	606456	560,5542	Std	211	6	[01, 03, 04, 84, 95, A0]
0	606457	560,5546	Std	8	1	[03]
0	606458	560,5548	Std	10	6	[00, 03, 04, 84, 8F, 5F]
0	606459	560,5561	Std	281	4	[01, D7, A7, 5D]
0	606460	560,5588	Std	0	1	[55]
0	606461	560,5592	Std	211	6	[02, 03, 04, 84, 94, 4B]
0	606462	560,5596	Std	8	1	[03]
0	606463	560,5598	Std	10	6	[00, 03, 04, 84, 8E, 08]
0	606464	560,5611	Std	281	4	[01, D7, A7, 5D]
0	606465	560,5638	Std	0	1	[55]
0	606466	560,5642	Std	211	6	[01, 03, 04, 84, 92, F3]
0	606467	560,5646	Std	8	1	[03]
0	606468	560,5648	Std	10	6	[00, 03, 04, 84, 8C, B1]
0	606469	560,5650	Std	209	3	[03, FF, FF]
0	606470	560,5661	Std	281	4	[01, D7, A7, 5D]
0	606471	560,5688	Std	0	1	[55]
0	606472	560,5692	Std	211	6	[02, 03, 04, 84, 91, 9D]
0	606473	560,5696	Std	8	1	[03]
0	606474	560,5698	Std	10	6	[00, 03, 04, 84, 8B, 59]
0	606475	560,5711	Std	281	4	[01, D7, A7, 5D]
0	606476	560,5738	Std	0	1	[55]
0	606477	560,5742	Std	211	6	[01, 03, 04, 84, 90, 45]
0	606478	560,5746	Std	8	1	[03]
0	606479	560,5748	Std	10	6	[00, 03, 04, 84, 8A, 02]
0	606480	560,5761	Std	281	4	[01, D7, A7, 5E]
0	606481	560,5788	Std	0	1	[55]
0	606482	560,5792	Std	211	6	[02, 03, 04, 84, 8E, EE]
0	606483	560,5796	Std	8	1	[03]
0	606484	560,5798	Std	10	6	[00, 03, 04, 84, 88, AB]
0	606485	560,5811	Std	281	4	[01, D7, A7, 5D]
0	606486	560,5838	Std	0	1	[55]
0	606487	560,5842	Std	211	6	[00, 03, 04, 84, 8D, 96]
0	606488	560,5846	Std	8	1	[03]
0	606489	560,5848	Std	10	6	[00, 03, 04, 84, 87, 54]
0	606490	560,5855	Std	209	3	[03, FF, FF]
0	606491	560,5861	Std	281	4	[01, D7, A7, 5D]
0	606492	560,5888	Std	0	1	[55]
0	606493	560,5892	Std	211	6	[02, 03, 04, 84, 8C, 3F]
0	606494	560,5896	Std	8	1	[03]
0	606495	560,5898	Std	10	6	[00, 03, 04, 84, 85, FC]
0	606496	560,5911	Std	281	4	[01, D7, A7, 5D]
0	606497	560,5938	Std	0	1	[55]
0	606498	560,5942	Std	211	6	[01, 03, 04, 84, 8A, E8]
0	606499	560,5946	Std	8	1	[03]
0	606500	560,5948	Std	10	6	[00, 03, 04, 84, 84, A5]
0	606501	560,5961	Std	281	4	[01, D7, A7, 5D]
0	606502	560,5988	Std	0	1	[55]
0	606503	560,5992	Std	211	6	[02, 03, 04, 84, 89, 92]
0	606504	560,5996	Std	8	1	[03]
0	606505	560,5998	Std	10	6	[00, 03, 04, 84, 83, 4E]
0	606506	560,6011	Std	281	4	[01, D7, A7, 5D]
0	606507	560,6038	Std	0	1	[55]
0	606508	560,6042	Std	211	6	[01, 03, 04, 84, 88, 3A]
0	606509	560,6046	Std	8	1	[03]
0	606510	560,6048	Std	10	6	[00, 03, 04, 84, 81, F7]
0	606511	560,6050	Std	410	4	[FF, 1C, 00, 00]
0	606512	560,6051	Std	410	4	[1D, 9D, 04, B1]
0	606513	560,6053	Std	411	4	[FF, 1C, 03, FD]
0	606514	560,6058	Std	209	3	[03, FF, FF]
0	606515	560,6061	Std	281	4	[01, D7, A7, 5D]
0	606516	560,6088	Std	0	1	[55]
0	606517	560,6092	Std	211	6	[02, 03, 04, 84, 86, E4]
0	606518	560,6096	Std	8	1	[03]
0	606519	560,6098	Std	10	6	[00, 03, 04, 84, 80, A0]
0	606520	560,6111	Std	281	4	[01, D7, A7, 5D]
0	606521	560,6138	Std	0	1	[55]
0	606522	560,6142	Std	211	6	[01, 03, 04, 84, 85, 8D]
0	606523	560,6146	Std	8	1	[03]
0	606524	560,6148	Std	10	6	[00, 03, 04, 84, 7F, 48]
0	606525	560,6161	Std	281	4	[01, D7, A7, 5D]
0	606526	560,6188	Std	0	1	[55]
0	606527	560,6192	Std	211	6	[03, 03, 04, 84, 84, 37]
0	606528	560,6196	Std	8	1	[03]
0	606529	560,6198	Std	10	6	[00, 03, 04, 84, 7D, F1]
0	606530	560,6211	Std	281	4	[01, D7, A7, 5D]
0	606531	560,6238	Std	0	1	[55]
0	606532	560,6242	Std	211	6	[01, 03, 04, 84, 82, E0]
0	606533	560,6246	Std	8	1	[03]
0	606534	560,6248	Std	10	6	[00, 03, 04, 84, 7C, 9A]
0	606535	560,6261	Std	281	4	[01, D7, A7, 5D]
0	606536	560,6263	Std	209	3	[03, FF, FF]
0	606537	560,6288	Std	0	1	[55]
0	606538	560,6292	Std	211	6	[02, 03, 04, 84, 81, 8A]
0	606539	560,6296	Std	8	1	[03]
0	606540	560,6298	Std	10	6	[00, 03, 04, 84, 7B, 43]
0	606541	560,6311	Std	281	4	[01, D7, A7, 5D]
0	606542	560,6338	Std	0	1	[55]
0	606543	560,6342	Std	211	6	[01, 03, 04, 84, 80, 32]
0	606544	560,6346	Std	8	1	[03]
